image_id,filename,filepath,split,caption,label,all_captions_json
flickr30k_14,100197432.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/100197432.jpg,train,Some women are standing in front of a bus with buildings behind it.,,"[""Some women are standing in front of a bus with buildings behind it."", ""Several women stand on a city street with tall buildings."", ""A group of women are standing in front of a bus."", ""Several women wait outside in a city."", ""Women are standing outside""]"
flickr30k_15,100207720.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/100207720.jpg,train,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter.,,"[""A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter."", ""A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake."", ""A woman wearing glasses sprinkles powdered sugar onto her bundt cake."", ""Girl in black jacket sifting powdered sugar over a chocolate cake."", ""A standing woman holds a pan over a cake.""]"
flickr30k_16,1002674143.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1002674143.jpg,train,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it.,,"[""A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it."", ""A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl."", ""There is a girl with pigtails sitting in front of a rainbow painting."", ""A little girl is sitting in front of a large painted rainbow."", ""Young girl with pigtails painting outside in the grass.""]"
flickr30k_17,1003163366.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1003163366.jpg,train,A man sleeping on a bench outside with a white and black dog sitting next to him.,,"[""A man sleeping on a bench outside with a white and black dog sitting next to him."", ""A man lays on the bench to which a white dog is also tied."", ""Man laying on bench holding leash of dog sitting on ground"", ""A shirtless man lies on a park bench with his dog."", ""A man lays on a bench while his dog sits by him.""]"
flickr30k_18,1003420127.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1003420127.jpg,train,"A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments.",,"[""A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments."", ""Five musicians, a man and four women, practicing sheet music (using flutes ) in a living room."", ""People gathered in a circle, some holding musical instruments."", ""People gathered in a room to talk about their favorite tunes."", ""Five people are sitting in a circle with instruments.""]"
flickr30k_19,1003428081.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1003428081.jpg,train,"Two women, both wearing glasses, are playing clarinets and an elderly woman is playing a stringed instrument.",,"[""Two women, both wearing glasses, are playing clarinets and an elderly woman is playing a stringed instrument."", ""At least four instrumentalists play clarinets and other instruments in a curtained room."", ""Four women in a living room, three of which are clearly playing a musical instrument."", ""A bunch of elderly women play their clarinets together as they read off sheet music."", ""A group of four women, are performing music on their instruments.""]"
flickr30k_20,100444898.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/100444898.jpg,train,A person in gray stands alone on a structure outdoors in the dark.,,"[""A person in gray stands alone on a structure outdoors in the dark."", ""A large structure has broken and is laying in a roadway."", ""A man in a gray coat is standing on a washed out bridge."", ""A man stands on wooden supports and surveys damage."", ""A man in a jacket and jeans standing on a bridge.""]"
flickr30k_21,1005216151.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1005216151.jpg,train,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station.,,"[""A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station."", ""A large crowd of people stand outside in front of the entrance to a Metro station."", ""A group of people are walking through a city street."", ""A crowd is portrayed near a metro station."", ""Crowd standing outside a metro area.""]"
flickr30k_22,100577935.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/100577935.jpg,train,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone's back.,,"[""A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone's back."", ""A man is putting a tattoo on a another's man upper back."", ""A man with a black shirt giving another man a tattoo."", ""A man is putting tattoo on his back."", ""A man getting a tattoo on his back.""]"
flickr30k_23,1006452823.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1006452823.jpg,train,"Two children, a girl and a boy are practicing their writing.",,"[""Two children, a girl and a boy are practicing their writing."", ""Two children sit on a small seesaw in the sand."", ""Two children sitting on a teeter totter."", ""2 kids playing on a seesaw"", ""Two kids sit on a seesaw.""]"
flickr30k_24,100652400.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/100652400.jpg,train,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag.,,"[""A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag."", ""A man wearing a hard hat and a caution vest is standing in the street waving an orange flag."", ""A man in bright vest and hard hat holds a flag on a street corner covered in spray paint"", ""A construction worker is standing in the street and holding a red flag."", ""A man wearing a reflective vest and a hard hat holds a flag in the road""]"
flickr30k_25,1007129816.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1007129816.jpg,test,The man with pierced ears is wearing glasses and an orange hat.,,"[""The man with pierced ears is wearing glasses and an orange hat."", ""A man with glasses is wearing a beer can crocheted hat."", ""A man with gauges and glasses is wearing a Blitz hat."", ""A man in an orange hat starring at something."", ""A man wears an orange hat and glasses.""]"
flickr30k_26,100716317.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/100716317.jpg,train,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings.,,"[""A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings."", ""A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene."", ""A person with gray hair is painting in a public place surrounded by others who are also painting."", ""Lady in blue coat with white and brown hat standing in front of a painting."", ""Passerby admiring painting at an outdoor art fair.""]"
flickr30k_27,1007205537.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1007205537.jpg,train,A man stands on one foot while holding on to a waste basket.,,"[""A man stands on one foot while holding on to a waste basket."", ""A man in green pants and blue shirt pushing a cart."", ""Janitor pushing dolly outside with janitor tools."", ""A man in green pants walking down the road."", ""A man in bright pants is pushing a cart.""]"
flickr30k_28,1007320043.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1007320043.jpg,train,A small child grips onto the red ropes at the playground.,,"[""A small child grips onto the red ropes at the playground."", ""A little girl in pink climbs a rope bridge at the park."", ""The small child climbs on a red ropes on a playground."", ""A little girl climbing on red roping."", ""A child playing on a rope net.""]"
flickr30k_29,100759042.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/100759042.jpg,train,Young man in jacket holding a toothpick with something on the end of it,,"[""Young man in jacket holding a toothpick with something on the end of it"", ""A young man traveling on bus with a piece of flower in his hands."", ""A teen holding an unknown object for photographers."", ""A young man on a train holds an origami crane."", ""You know i am looking like Justin Bieber.""]"
flickr30k_30,10082347.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/10082347.jpg,train,Young blond man in a blue and yellow jacket smiling while standing in front of a net.,,"[""Young blond man in a blue and yellow jacket smiling while standing in front of a net."", ""A young man in a black and yellow jacket is gazing at something and smiling."", ""A young man holding a pole vault looks determined."", ""A man is holding a pole and smiling."", ""A smiling man looking at the sky.""]"
flickr30k_31,10082348.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/10082348.jpg,train,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.,,"[""A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug."", ""A man is wearing a ball cap and holding a coffee cup between to urinals."", ""A man is posing next to a urinal with a cup of coffee."", ""A man holds a coffee cup while in the bathroom."", ""A man standing at a urinal with a coffee cup.""]"
flickr30k_32,100845130.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/100845130.jpg,train,Five people walking with a multicolored sky in the background.,,"[""Five people walking with a multicolored sky in the background."", ""Four people walking through the sunset in clear blue skies."", ""Four people walking with the sun setting behind them."", ""Four silhouettes decorate the horizon's sunset."", ""A group of people walking as the sun sets.""]"
flickr30k_33,10090841.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/10090841.jpg,train,A man with black hair sits in a restaurant with a glass of beer.,,"[""A man with black hair sits in a restaurant with a glass of beer."", ""A man is sitting at a table with a drink."", ""A man is sitting at a table with a beer."", ""A dark-haired man sitting drinking."", ""A old man having a beer alone.""]"
flickr30k_34,1009434119.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1009434119.jpg,test,A black and white dog is running in a grassy garden surrounded by a white fence.,,"[""A black and white dog is running in a grassy garden surrounded by a white fence."", ""A Boston Terrier is running on lush green grass in front of a white fence."", ""A black and white dog is running through the grass."", ""A dog runs on the green grass near a wooden fence."", ""A Boston terrier is running in the grass.""]"
flickr30k_35,1009692167.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1009692167.jpg,train,An officer in a reflective vest stands at the front of his van with his dog.,,"[""An officer in a reflective vest stands at the front of his van with his dog."", ""A trained police dog sits next to his handler in front of the police van."", ""A security man with his watch dog is looking for something."", ""A policeman is standing with a German Shepherd dog."", ""A policeman stops on a street with a search dog.""]"
flickr30k_36,101001624.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101001624.jpg,train,"The ""white out"" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood.",,"[""The \""white out\"" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood."", ""A young boy rides a bike down a snow covered road."", ""A boy in the snow riding his bike down the street."", ""A person riding a bike on a snowy road."", ""A person riding a bike in snow.""]"
flickr30k_37,1010031975.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1010031975.jpg,train,"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van.",,"[""Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van."", ""Small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking."", ""Five men in white short-sleeved shirts and ties stand in a parking lot."", ""A group of men wearing ties talk while standing on the street."", ""Colleges stop to take a break from there business meetings.""]"
flickr30k_38,1010087179.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1010087179.jpg,train,A tan man with a backwards hat looks at the camera while walking through a factory.,,"[""A tan man with a backwards hat looks at the camera while walking through a factory."", ""Older man working in a factory not looking too excited about the photograph."", ""A man in a white shirt and black camp among many machines."", ""A man with a backwards hat works on machinery."", ""A man wearing a backwards cap at work.""]"
flickr30k_39,1010087623.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1010087623.jpg,train,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.,,"[""A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor."", ""A black woman and a white man working in a factory setting packing jars with candles into boxes."", ""A woman is sorting white tall candles as a man in a green shirt stands behind her."", ""A warehouse manager assisting an employee."", ""Two people working on an assembly line.""]"
flickr30k_40,10101477.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/10101477.jpg,train,"Man wearing a blue and white outfit, holding a broom, with a traditional Asian architecture in the background.",,"[""Man wearing a blue and white outfit, holding a broom, with a traditional Asian architecture in the background."", ""A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement."", ""A man in a white and blue kimono is using a broom to sweep pavement."", ""Man sweeping the street outside."", ""Asian man sweeping the walkway.""]"
flickr30k_41,1010470346.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1010470346.jpg,train,Two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by,,"[""Two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by"", ""A man leans into a car to talk to the driver, as a man on a bicycle looks on."", ""A man on a bicycle watching a row of cars waiting to go through a checkpoint."", ""A park ranger talking to a tourist."", ""Two cars are parked outside.""]"
flickr30k_42,1010673430.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1010673430.jpg,train,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass.,,"[""A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass."", ""Two young children eating a snack and playing in the grass."", ""Two young toddlers outside on the grass."", ""Two infants are at play in the yard."", ""2 female babies eating chips.""]"
flickr30k_43,101093029.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101093029.jpg,train,A person in tan pants is inside a silver mobile object while people watch.,,"[""A person in tan pants is inside a silver mobile object while people watch."", ""People are watching a person in a weird vehicle in a plaza."", ""A man in a blue shirt driving a Segway type vehicle."", ""A showing of product to advertise"", ""A crowd admiring modern art?""]"
flickr30k_44,101093045.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101093045.jpg,train,"A man in black approaches a strange silver object containing a person, while many onlookers observe from behind a roped off barrier.",,"[""A man in black approaches a strange silver object containing a person, while many onlookers observe from behind a roped off barrier."", ""A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches."", ""A person riding in a futuristic single-person vehicle."", ""Man walking up to silver 4-wheeled chair"", ""A man walks by a silver vehicle.""]"
flickr30k_45,1011572216.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1011572216.jpg,train,Bride and groom walking side by side out of focus on pathway next to brick building.,,"[""Bride and groom walking side by side out of focus on pathway next to brick building."", ""A beautiful bride walking on a sidewalk with her new husband."", ""A recently married couple pose for the camera."", ""A groom and bride are standing arm in arm."", ""A couple getting married.""]"
flickr30k_46,1012150929.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1012150929.jpg,train,A little boy plays with a Nintendo GameCube controller inside a McDonald's.,,"[""A little boy plays with a Nintendo GameCube controller inside a McDonald's."", ""A young boy plays a video game in a McDonald's restaurant."", ""A young boy plays with a GameCube kiosk at McDonald's."", ""A little boy playing GameCube at a McDonald's."", ""A little kid playing GameCube at McDonald's.""]"
flickr30k_47,1012212859.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1012212859.jpg,train,White dog with brown ears standing near water with head turned to one side.,,"[""White dog with brown ears standing near water with head turned to one side."", ""Dog with orange ball at feet, stands on shore shaking off water"", ""A white dog shakes on the edge of a beach with an orange ball."", ""White dog playing with a red ball on the shore near the water."", ""A dog shakes its head near the shore, a red ball next to it.""]"
flickr30k_48,1012328893.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1012328893.jpg,train,A group of people picnicking at picnic tables in front of a playground.,,"[""A group of people picnicking at picnic tables in front of a playground."", ""A group of people enjoying a beautiful day in the park."", ""A group of people are having a picnic at the park."", ""The reunion is in full swing with a moon bounce."", ""A group of people having a barbecue at a park.""]"
flickr30k_49,101262930.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101262930.jpg,train,"Two asian or spanish people, a woman and a man, sitting together in front of a glass window as cars pass.",,"[""Two asian or spanish people, a woman and a man, sitting together in front of a glass window as cars pass."", ""A man in sunglasses puts his arm around a woman in a black and white blouse."", ""A man in sunglasses puts his arm around a woman."", ""A man and woman pose in front of some traffic."", ""An Asian couple sitting on the bench.""]"
flickr30k_50,1013536888.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1013536888.jpg,train,"Women are seated at a picnic table eating, while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background.",,"[""Women are seated at a picnic table eating, while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background."", ""An elderly woman is eating a burger while the man next to her touching his hat."", ""A man with a balloon hat and people eating outdoors at picnic tables."", ""Two older women sit at a table with two coolers in front of them."", ""A gray-haired person with glasses enjoys a sandwich.""]"
flickr30k_51,101362133.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101362133.jpg,test,A young female student performing a downward kick to break a board held by her Karate instructor.,,"[""A young female student performing a downward kick to break a board held by her Karate instructor."", ""Girl about to kick a piece of wood in half while karate instructor holds it"", ""A girl kicking a stick that a man is holding in tae kwon do class."", ""A girl in karate uniform breaking a stick with a front kick."", ""A girl breaking boards by using karate.""]"
flickr30k_52,101362650.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101362650.jpg,train,Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat.,,"[""Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat."", ""A boy jump kicking over three kids kicking wood during a tae kwon do competition."", ""A boy jumps over three other students in a martial arts demonstration."", ""A crowd is watching a group of five martial artists perform."", ""A crowd of people watch a martial arts demonstration.""]"
flickr30k_53,1014609273.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1014609273.jpg,train,People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him.,,"[""People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him."", ""A kid in a red sweatshirt is reaching to hand something to a man in a white shirt"", ""A young boy empties a bottle over the railing of a balcony unto the man below."", ""A boy in a red jacket pouring water on a man in a white shirt"", ""A young man pouring the contents of a bottle.""]"
flickr30k_54,101471792.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101471792.jpg,train,A man with a red jacket is shielding himself from the sun trying to read a piece of paper.,,"[""A man with a red jacket is shielding himself from the sun trying to read a piece of paper."", ""A man wearing a red coat is outside with his hand over his head to block out the sun."", ""A man in a red jacket shades the sun from his eyes on a busy street."", ""An elderly man in a red jacket shielding his face from the sun."", ""Man in red jacket shielding face from the sun to read.""]"
flickr30k_55,1014785440.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1014785440.jpg,train,Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood.,,"[""Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood."", ""Two men, each with a small child on their backs, walk on a paved road."", ""Two men are out for a stroll with their two young children."", ""Men walking down a street with children."", ""Two men walking with children.""]"
flickr30k_56,1015118661.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1015118661.jpg,train,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him.,,"[""Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him."", ""A little boy is standing on the street while a man in overalls is working on a stone wall."", ""A young child is walking on a stone paved street with a metal pole and a man behind him."", ""A boy smiles in front of a stony wall in a city."", ""A young boy runs aross the street.""]"
flickr30k_57,1015584366.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1015584366.jpg,train,A mottled black and gray dog in a blue collar jumping over a fallen tree.,,"[""A mottled black and gray dog in a blue collar jumping over a fallen tree."", ""A gray dog is leaping over a fallen tree."", ""A large black dog leaps a fallen log."", ""The black dog jumped the tree stump."", ""A black dog leaps over a log.""]"
flickr30k_58,101559400.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101559400.jpg,train,"Men in the business suits are crossing the street, and there are people with placards are gathering on the street.",,"[""Men in the business suits are crossing the street, and there are people with placards are gathering on the street."", ""A man in a suit runs across an intersection while a large group of people assembles."", ""A man in a suit is running past two other gentleman, also dressed in a suit."", ""A man in a suit is hurrying across the street."", ""A man in a suit is running across the street.""]"
flickr30k_59,1015712668.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1015712668.jpg,train,A man in a red long-sleeved shirt bikes over a body of water on a bridge.,,"[""A man in a red long-sleeved shirt bikes over a body of water on a bridge."", ""A man riding his bike across the bridge that is over the river."", ""A man in red on a bicycle rides past a glass structure."", ""Man in a red shirt riding his bicycle around water."", ""A man in a red shirt rides his bicycle.""]"
flickr30k_60,10160966.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/10160966.jpg,train,A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup.,,"[""A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup."", ""A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it."", ""A young man in sunglasses holds a blue cup next to a grill with sausages."", ""A young man, wearing a white shirt, prepares hotdogs on a small grill."", ""A man is holding his cup while he grills hotdogs.""]"
flickr30k_61,101654506.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101654506.jpg,train,The white and brown dog is running over the surface of the snow.,,"[""The white and brown dog is running over the surface of the snow."", ""A white and brown dog is running through a snow covered field."", ""A brown and white dog is running through the snow."", ""A dog running through snow."", ""A dog is running in the snow""]"
flickr30k_62,1016626169.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1016626169.jpg,train,Man on scooter attracts attention from some of those in large crowd.,,"[""Man on scooter attracts attention from some of those in large crowd."", ""A crowd is standing and waiting for the green light."", ""People stop and look at an older woman outside."", ""A crowd of people waiting to cross a street."", ""A crowd of people waiting for the light.""]"
flickr30k_63,101669240.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/101669240.jpg,train,A person wearing skis looking at framed pictures set up in the snow.,,"[""A person wearing skis looking at framed pictures set up in the snow."", ""A man in a hat is displaying pictures next to a skier in a blue hat."", ""A man skis past another man displaying paintings in the snow."", ""A skier looks at framed pictures in the snow next to trees."", ""Man on skis looking at artwork for sale in the snow""]"
flickr30k_64,1016887272.jpg,/workspace/Semana4/Proyecto/data/processed/flickr30k_hf/images/1016887272.jpg,train,Several climbers in a row are climbing the rock while the man in red watches and holds the line.,,"[""Several climbers in a row are climbing the rock while the man in red watches and holds the line."", ""Seven climbers are ascending a rock face whilst another man stands holding the rope."", ""A group of people are rock climbing on a rock climbing wall."", ""A group of people climbing a rock while one man belays"", ""A collage of one person climbing a cliff.""]"
